truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.76,0.5,0.6,0.8897019963535898,1,self_fulfilling
-0.76,0.52,0.6,0.8897029357206332,1,self_fulfilling
-0.76,0.54,0.6,0.8897036316120145,1,self_fulfilling
-0.76,0.56,0.6,0.8897041471361777,1,self_fulfilling
-0.76,0.5800000000000001,0.6,0.8897045290432086,1,self_fulfilling
-0.76,0.6000000000000001,0.6,0.8897048119654344,1,self_fulfilling
-0.76,0.6199999999999999,0.6,0.8897050215585723,1,self_fulfilling
-0.76,0.6399999999999999,0.6,0.8897051768285478,1,self_fulfilling
-0.76,0.6599999999999999,0.6,0.8897052918551331,1,self_fulfilling
-0.76,0.6799999999999999,0.6,0.8897053770687909,1,self_fulfilling
-0.76,0.7,0.6,0.8897054401965485,1,self_fulfilling
-0.76,0.72,0.6,0.8897054869627016,1,self_fulfilling
-0.76,0.74,0.6,0.8897055216078981,1,self_fulfilling
-0.76,0.76,0.6,0.8897055472736788,1,self_fulfilling
-0.76,0.78,0.6,0.8897055662873502,1,self_fulfilling
-0.76,0.8,0.6,0.8897055803730208,1,self_fulfilling
-0.74,-0.8,0.6,-0.9277407861003618,0,neutral
-0.74,-0.78,0.6,-0.9277407784852402,0,neutral
-0.74,-0.76,0.6,-0.9277407682058996,0,neutral
-0.74,-0.74,0.6,-0.927740754330238,0,neutral
-0.74,-0.7200000000000001,0.6,-0.9277407356000483,0,neutral
-0.74,-0.7000000000000001,0.6,-0.9277407103169266,0,neutral
-0.74,-0.68,0.6,-0.9277406761882634,0,neutral
-0.74,-0.66,0.6,-0.9277406301193527,0,neutral
-0.74,-0.64,0.6,-0.9277405679327657,0,neutral
-0.74,-0.6200000000000001,0.6,-0.9277404839895405,0,neutral
-0.74,-0.6000000000000001,0.6,-0.9277403706778324,0,neutral
-0.74,-0.5800000000000001,0.6,-0.9277402177226498,0,neutral
-0.74,-0.56,0.6,-0.9277400112540651,0,neutral
-0.74,-0.54,0.6,-0.9277397325493807,0,neutral
-0.74,-0.52,0.6,-0.9277393563351359,0,neutral
-0.74,-0.5,0.6,-0.9277388484948842,0,neutral
-0.74,-0.48000000000000004,0.6,-0.9277381629747044,0,neutral
-0.74,-0.46,0.6,-0.9277372376055067,0,neutral
-0.74,-0.44000000000000006,0.6,-0.9277359884626992,0,neutral
